'NHX6300 3', 'In Cycle - Monitoring', '2019, 7, 23, 23, 59, 33', '2019, 7, 24, 0, 7, 55'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 7, 55', '2019, 7, 24, 0, 7, 58'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 7, 58', '2019, 7, 24, 0, 8, 1'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 8, 2', '2019, 7, 24, 0, 8, 3'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 8, 3', '2019, 7, 24, 0, 8, 43'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 8, 43', '2019, 7, 24, 0, 8, 48'
'NHX6300 3', 'In Cycle - Monitoring', '2019, 7, 24, 0, 8, 48', '2019, 7, 24, 0, 20, 17'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 20, 17', '2019, 7, 24, 0, 20, 20'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 20, 20', '2019, 7, 24, 0, 26, 13'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 26, 13', '2019, 7, 24, 0, 27, 17'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 27, 17', '2019, 7, 24, 0, 28, 8'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 28, 8', '2019, 7, 24, 0, 28, 24'
'NHX6300 3', 'In Cycle - Monitoring', '2019, 7, 24, 0, 28, 24', '2019, 7, 24, 0, 39, 53'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 39, 53', '2019, 7, 24, 0, 39, 56'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 39, 56', '2019, 7, 24, 0, 41, 57'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 41, 57', '2019, 7, 24, 0, 42, 0'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 42, 0', '2019, 7, 24, 0, 42, 1'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 42, 1', '2019, 7, 24, 0, 42, 1'
