"id","order_type","seq_no","status_type_val","pr_order_no","sa_order_line_no","company_name","to_item_no","due_dt","toshop_dt","process_by_dt","order_qty,order_uom","form_dim1","form_dim2","form_dim3","form_dim4","form_dim5","form_dim6","dim1","dim2","dim3","dim4","dim5","dim6","dim_uom","pr_center_no","short_desc","instruction"
"4-MO0000034WK-100-158","MFG","100","Unscheduled","MO0000034WK","","","6061 9.50 T651 PLATE 0035-01215","1/31/23","1/30/23","1/31/23","1 ea","9.5","","","","","","","","","","","","in","BUR-Plate Saws","Plate Saws","PULL MARKED 9.75" PLATE
CUT SIZE 45.375 x 45.375
CUT TOLERANCE +.120/-0
MARK HEAT LOT ON ALL PIECES"
"4-MO0000034WK-200-155","MFG","200","Unscheduled","MO0000034WK","","","6061 9.50 T651 PLATE 0035-01215","1/31/23","1/30/23","1/31/23","1 ea","9.5","","","","","","","","","","","","in","BUR-Visionwide 4120","Visionwide 4120","PULL CORRESPONDING BLOCKS FROM SAWS
STAGE PARTS IN FRONT OF MACHINE
VERIFY HEAT LOTS
MEASURE BLOCKS BEFORE LOADING MATERIAL
PULL/PRINT AND REVIEW SET-UP DOCS FOR OPS 1 AND 2
VERIFY CORRECT PROGRAMS ARE LOADED IN MACHINE
MACHINE BLOCKS TO PRINT 0035-01215 REV 04
INSPECT FINISHED BLOCK ON ATTACHED SHEETS
TAKE FIRST PART TO QUALITY FOR BUYOFF"
"4-MO0000040WK-100-187","MFG","100","Scheduled","MO0000040WK","WO0149351-1/1","Libra Industries, LLC","5083  1.0 RINGS ADS100L-001","1/30/23","2/2/23","1/30/23","32 ea","1","","","","","","","","","","","","in","BUR-HAAS GR712","HAAS GR712","VERIFY HEAT LOTS AND SIZE OF STAGED PLATES
PULL/PRINT AND REVIEW SET-UP DOC
VERIFY CORRECT PROGRAM IS LOADED
LOAD PLATE ACCORDING TO SET UP DOC
MACHINE PARTS TO PRINT 100L-001 Rev. A
DEBURR AND CLEAN PARTS
MARK HEAT LOTS ON ALL PCS
STICKER EACH PART
TAKE FIRST FINISHED PART TO QUALITY FOR BUYOFF"
"4-MO0000052WK-100-249","MFG","100","Scheduled","MO0000052WK","WO0148999-1/1","Athena Manufacturing","7050 4.0 T7451 PLATE USI 901-005-664-101-BLANK","2/14/23","2/6/23","2/14/23","15 ea","4","","","","","","","","","","","","in","BUR-Plate Saws","Plate Saws","CUT SIZE 26.0 x 26.0
CUT TOLERANCE +.120/-0
MARK HEAT LOT ON CUT BLOCKS"
"4-MO0000052WK-200-251","MFG","200","Scheduled","MO0000052WK","WO0148999-1/1","Athena Manufacturing","7050 4.0 T7451 PLATE USI 901-005-664-101-BLANK","2/14/23","2/6/23","2/14/23","15 ea","4","","","","","","","","","","","","in","BUR-Hyundai F650","Hyundai F650","PULL CORRESPONDING BLOCKS FROM SAWS
STAGE PARTS IN FRONT OF MACHINE
VERIFY HEAT LOTS AND QUANTITY
MEASURE BLOCKS BEFORE LOADING MATERIAL
PULL/PRINT AND REVIEW SET-UP DOC
VERIFY CORRECT PROGRAM IS LOADED IN MACHINE
MACHINE BLOCKS TO PRINT
INSPECT FINISHED BLOCK ON ATTACHED SHEETS
TAKE FIRST PART TO QUALITY FOR BUYOFF"
"4-MO0000053WK-100-242","MFG","100","Scheduled","MO0000053WK","WO0148203-1/19","K&B Industries","6061 24.75" T6 FORGING 0035-00652-T6","2/23/23","2/6/23","2/23/23","5 ea","24.75","","","","","","","","","","","","in","BUR-Visionwide 3116","Visionwide 3116","PULL MARKED RAW BLOCKS
RECORD EACH BLOCK LENGTH AND WIDTH OF STARTING BLOCK
MACHINE PARTS TO PRINT"
"4-MO0000053WK-200-239","MFG","200","Scheduled","MO0000053WK","WO0148203-1/19","K&B Industries","6061 24.75" T6 FORGING 0035-00652-T6","2/23/23","2/6/23","2/23/23","5 ea","24.75","","","","","","","","","","","","in","BUR-OKK HM1000S","OKK HM1000S","PREP PARTS BY DRILLING AND TAPPING BLOCKS ACCORDING TO SET UP DOC
MACHINE PARTS TO PRINT
INSPECT FINISHED PARTS ON ATTACHED SHEET
DEBURR AND CLEAN PARTS ONCE MACHINED
TAKE FIRST PART TO QUALITY FOR BUYOFF"
