--- 2024-05-15 ---
05/15/2024 05:15:22: Connecting to MySQL...
05/15/2024 05:15:25: Done
05/15/2024 05:15:25: Reading Row...  Job ID: 1
05/15/2024 05:15:27: Reading Row...  Job ID: 2
05/15/2024 05:15:27: Reading Row...  Job ID: 3
05/15/2024 05:15:27: Reading Row...  Job ID: 4
05/15/2024 05:15:28: Reading Row...  Job ID: 5
05/15/2024 05:15:28: Reading Row...  Job ID: 6
05/15/2024 05:15:29: Reading Row...  Job ID: 7
05/15/2024 05:15:29: Reading Row...  Job ID: 8
05/15/2024 05:15:30: Reading Row...  Job ID: 9
05/15/2024 05:15:30: Reading Row...  Job ID: 10
05/15/2024 05:15:30: Reading Row...  Job ID: 11
05/15/2024 05:15:31: Reading Row...  Job ID: 12
05/15/2024 05:15:31: Reading Row...  Job ID: 13
05/15/2024 05:15:32: Reading Row...  Job ID: 14
05/15/2024 05:15:32: Reading Row...  Job ID: 15
05/15/2024 05:15:33: Reading Row...  Job ID: 16
05/15/2024 05:15:33: Reading Row...  Job ID: 17
05/15/2024 05:15:33: Reading Row...  Job ID: 18
05/15/2024 05:15:34: Reading Row...  Job ID: 19
05/15/2024 05:15:34: Reading Row...  Job ID: 20
05/15/2024 05:15:35: Reading Row...  Job ID: 21
05/15/2024 05:15:35: Reading Row...  Job ID: 22
05/15/2024 05:15:36: Reading Row...  Job ID: 23
05/15/2024 05:15:36: Reading Row...  Job ID: 24
05/15/2024 05:15:36: Reading Row...  Job ID: 25
05/15/2024 05:15:37: Reading Row...  Job ID: 26
05/15/2024 05:15:37: Reading Row...  Job ID: 27
05/15/2024 05:15:38: Reading Row...  Job ID: 28
05/15/2024 05:15:38: Reading Row...  Job ID: 29
05/15/2024 05:15:39: Reading Row...  Job ID: 30
05/15/2024 05:15:39: Reading Row...  Job ID: 31
05/15/2024 05:15:39: Reading Row...  Job ID: 32
05/15/2024 05:15:40: Reading Row...  Job ID: 33
05/15/2024 05:15:40: Reading Row...  Job ID: 34
05/15/2024 05:15:41: Reading Row...  Job ID: 35
05/15/2024 05:15:41: Reading Row...  Job ID: 36
05/15/2024 05:15:42: Reading Row...  Job ID: 37
05/15/2024 05:15:42: Reading Row...  Job ID: 38
05/15/2024 05:15:42: Reading Row...  Job ID: 39
05/15/2024 05:15:43: Reading Row...  Job ID: 40
05/15/2024 05:15:43: Reading Row...  Job ID: 41
05/15/2024 05:15:44: Reading Row...  Job ID: 42
05/15/2024 05:15:44: Reading Row...  Job ID: 43
05/15/2024 05:15:45: Reading Row...  Job ID: 44
05/15/2024 05:15:45: Reading Row...  Job ID: 45
05/15/2024 05:15:45: Reading Row...  Job ID: 46
05/15/2024 05:15:46: Reading Row...  Job ID: 47
05/15/2024 05:15:46: Reading Row...  Job ID: 48
05/15/2024 05:15:47: Reading Row...  Job ID: 49
05/15/2024 05:15:47: Reading Row...  Job ID: 50
05/15/2024 05:15:48: Reading Row...  Job ID: 51
05/15/2024 05:15:48: Reading Row...  Job ID: 52
05/15/2024 05:15:48: Reading Row...  Job ID: 53
05/15/2024 05:15:49: Reading Row...  Job ID: 54
05/15/2024 05:15:49: Reading Row...  Job ID: 55
05/15/2024 05:15:50: Reading Row...  Job ID: 56
05/15/2024 05:15:50: Reading Row...  Job ID: 57
05/15/2024 05:15:51: Reading Row...  Job ID: 58
05/15/2024 05:15:51: Reading Row...  Job ID: 59
05/15/2024 05:15:51: Reading Row...  Job ID: 60
05/15/2024 05:15:52: Reading Row...  Job ID: 61
05/15/2024 05:15:52: Reading Row...  Job ID: 62
05/15/2024 05:15:53: Reading Row...  Job ID: 63
05/15/2024 05:15:53: Reading Row...  Job ID: 64
05/15/2024 05:15:54: Reading Row...  Job ID: 65
05/15/2024 05:15:54: Reading Row...  Job ID: 66
05/15/2024 05:15:54: Reading Row...  Job ID: 67
05/15/2024 05:15:55: Reading Row...  Job ID: 68
05/15/2024 05:15:55: Reading Row...  Job ID: 69
05/15/2024 05:15:56: Reading Row...  Job ID: 70
05/15/2024 05:15:56: Reading Row...  Job ID: 71
05/15/2024 05:15:56: Reading Row...  Job ID: 72
05/15/2024 05:15:57: Reading Row...  Job ID: 73
05/15/2024 05:15:57: Reading Row...  Job ID: 74
05/15/2024 05:15:58: Reading Row...  Job ID: 75
05/15/2024 05:15:58: Reading Row...  Job ID: 76
05/15/2024 05:15:59: Reading Row...  Job ID: 77
05/15/2024 05:15:59: Reading Row...  Job ID: 78
05/15/2024 05:15:59: Reading Row...  Job ID: 79
05/15/2024 05:16:00: Reading Row...  Job ID: 80
05/15/2024 05:16:00: Reading Row...  Job ID: 81
05/15/2024 05:16:01: Reading Row...  Job ID: 82
05/15/2024 05:16:01: Reading Row...  Job ID: 83
05/15/2024 05:16:02: Reading Row...  Job ID: 84
05/15/2024 05:16:02: Reading Row...  Job ID: 85
05/15/2024 05:16:02: Reading Row...  Job ID: 86
05/15/2024 05:16:03: Reading Row...  Job ID: 87
05/15/2024 05:16:03: Reading Row...  Job ID: 88
05/15/2024 05:16:04: Reading Row...  Job ID: 89
05/15/2024 05:16:04: Reading Row...  Job ID: 90
05/15/2024 05:16:05: Reading Row...  Job ID: 91
05/15/2024 05:16:05: Reading Row...  Job ID: 92
05/15/2024 05:16:06: Reading Row...  Job ID: 93
05/15/2024 05:16:06: Reading Row...  Job ID: 94
05/15/2024 05:16:06: Reading Row...  Job ID: 95
05/15/2024 05:16:07: Reading Row...  Job ID: 96
05/15/2024 05:16:07: Reading Row...  Job ID: 97
05/15/2024 05:16:08: Reading Row...  Job ID: 98
05/15/2024 05:16:08: Reading Row...  Job ID: 99
05/15/2024 05:16:09: Reading Row...  Job ID: 100
