05/17/2024 00:30:08: Connecting to MySQL...
05/17/2024 00:30:11: Done
05/17/2024 00:30:11: Reading Row...  Job ID: 1
05/17/2024 00:30:12: Reading Row...  Job ID: 2
05/17/2024 00:30:13: Reading Row...  Job ID: 3
05/17/2024 00:30:13: Reading Row...  Job ID: 4
05/17/2024 00:30:14: Reading Row...  Job ID: 5
05/17/2024 00:30:14: Reading Row...  Job ID: 6
05/17/2024 00:30:15: Reading Row...  Job ID: 7
05/17/2024 00:30:15: Reading Row...  Job ID: 8
05/17/2024 00:30:16: Reading Row...  Job ID: 9
05/17/2024 00:30:16: Reading Row...  Job ID: 10
05/17/2024 00:30:16: Reading Row...  Job ID: 11
05/17/2024 00:30:17: Reading Row...  Job ID: 12
05/17/2024 00:30:17: Reading Row...  Job ID: 13
05/17/2024 00:30:18: Reading Row...  Job ID: 14
05/17/2024 00:30:18: Reading Row...  Job ID: 15
05/17/2024 00:30:19: Reading Row...  Job ID: 16
05/17/2024 00:30:19: Reading Row...  Job ID: 17
05/17/2024 00:30:20: Reading Row...  Job ID: 18
05/17/2024 00:30:20: Reading Row...  Job ID: 19
05/17/2024 00:30:21: Reading Row...  Job ID: 20
05/17/2024 00:30:21: Reading Row...  Job ID: 21
05/17/2024 00:30:22: Reading Row...  Job ID: 22
05/17/2024 00:30:22: Reading Row...  Job ID: 23
05/17/2024 00:30:23: Reading Row...  Job ID: 24
05/17/2024 00:30:23: Reading Row...  Job ID: 25
05/17/2024 00:30:24: Reading Row...  Job ID: 26
05/17/2024 00:30:24: Reading Row...  Job ID: 27
05/17/2024 00:30:25: Reading Row...  Job ID: 28
05/17/2024 00:30:25: Reading Row...  Job ID: 29
05/17/2024 00:30:25: Reading Row...  Job ID: 30
05/17/2024 00:30:26: Reading Row...  Job ID: 31
05/17/2024 00:30:26: Reading Row...  Job ID: 32
05/17/2024 00:30:27: Reading Row...  Job ID: 33
05/17/2024 00:30:27: Reading Row...  Job ID: 34
05/17/2024 00:30:28: Reading Row...  Job ID: 35
05/17/2024 00:30:28: Reading Row...  Job ID: 36
05/17/2024 00:30:29: Reading Row...  Job ID: 37
05/17/2024 00:30:29: Reading Row...  Job ID: 38
05/17/2024 00:30:30: Reading Row...  Job ID: 39
05/17/2024 00:30:30: Reading Row...  Job ID: 40
05/17/2024 00:30:31: Reading Row...  Job ID: 41
05/17/2024 00:30:31: Reading Row...  Job ID: 42
05/17/2024 00:30:32: Reading Row...  Job ID: 43
05/17/2024 00:30:32: Reading Row...  Job ID: 44
05/17/2024 00:30:33: Reading Row...  Job ID: 45
05/17/2024 00:30:33: Reading Row...  Job ID: 46
05/17/2024 00:30:34: Reading Row...  Job ID: 47
05/17/2024 00:30:34: Reading Row...  Job ID: 48
05/17/2024 00:30:35: Reading Row...  Job ID: 49
05/17/2024 00:30:35: Reading Row...  Job ID: 50
05/17/2024 00:30:36: Reading Row...  Job ID: 51
05/17/2024 00:30:36: Success to upload data!
05/17/2024 00:32:42: Connecting to MySQL...
05/17/2024 00:32:46: Done
05/17/2024 00:32:48: Success to upload data!
